,adress_velo,lat_velo,lng_velo,bike_stands,status,available_bike_stands,available_bikes,availability,id_velo,type
0,Place du Lac,45.7588856223001300,4.8537678938544730,19,OPEN,16,3,Vert,3058,station_velo
1,"10, Rue Clos Savaron",45.7826362574796000,4.8255591851847730,20,OPEN,14,6,Vert,4008,station_velo
2,"33, Boulevard Eugène Réguillon",45.7615279698755500,4.8956902199613600,15,OPEN,10,5,Vert,10071,station_velo
3,Boulevard du 11 Novembre 1918,45.7790305746488640,4.8668629009953690,23,OPEN,22,0,Orange,10038,station_velo
4,"33, Avenue Antoine de Saint Exupéry",45.7588589710478640,4.8787495764625985,15,OPEN,0,15,Bleu,10060,station_velo
5,Rue du Chariot d'Or,45.7776173765049850,4.8345009421112760,12,OPEN,9,3,Vert,4005,station_velo
6,Rue de la Madeleine,45.7490803589590100,4.8477399426535540,15,OPEN,0,15,Bleu,7016,station_velo
7,Place Sainte Irénée,45.7549458810740000,4.8124212248457430,20,OPEN,16,4,Vert,5008,station_velo
8,"2, Quai de la Libération",45.8308663282951700,4.8469785074774770,24,OPEN,14,10,Vert,27001,station_velo
9,"170, Boulevard des Etats-Unis",45.7247031652649550,4.8707659770891900,20,OPEN,8,12,Vert,8041,station_velo
10,"1, Place Antonin Poncet",45.7567623213032200,4.8339273966533850,40,OPEN,21,19,Vert,2008,station_velo
11,"5, Rue Croix-Barret",45.7367908138388600,4.8411520886055190,32,OPEN,24,7,Vert,7019,station_velo
12,"Face 22, Rue Pizay",45.7672004172203160,4.8363916853563290,22,OPEN,0,22,Bleu,1032,station_velo
13,"103, Avenue Barthélémy Buyer",45.7620132943614000,4.8027598903443770,22,OPEN,20,2,Vert,5055,station_velo
14,"54, Avenue Marc Sangnier",45.7591435230511500,4.8759935561091980,27,OPEN,0,27,Bleu,10048,station_velo
15,"143, Avenue Paul Kruger",45.7541677716671700,4.9052920801326070,22,OPEN,13,9,Vert,10115,station_velo
16,"9, Place Jules Grandclément",45.7583918194315600,4.8856094344245130,34,OPEN,22,12,Vert,10063,station_velo
17,Rue Anatole France,45.7698294895997860,4.8896313501762110,10,OPEN,6,4,Vert,10086,station_velo
18,"111, Avenue Berthelot",45.7437118135706000,4.8473688829598505,15,OPEN,0,13,Bleu,7011,station_velo
19,"37, Rue Sébastien Gryphe",45.7519114393107300,4.8437864046911105,25,OPEN,3,22,Vert,7036,station_velo
20,Place Vanderpol,45.7730995725331500,4.8078137222645940,15,OPEN,2,13,Vert,9029,station_velo
21,"Face 31, Rue des Bienvenus",45.7778649152535660,4.8842442857728360,15,OPEN,1,11,Vert,10083,station_velo
22,"Face 30, Rue Ferrandière",45.7621739970214800,4.8359706936868220,25,OPEN,23,2,Vert,2017,station_velo
23,184 route de Vienne,45.7324819782407700,4.8534099750018610,20,OPEN,1,19,Vert,8057,station_velo
24,Place Henri,45.7481869061751400,4.8805939581712150,13,OPEN,5,8,Vert,3051,station_velo
25,"45, Rue Edouard Vaillant",45.7753988102813600,4.8802630912578130,17,OPEN,0,17,Bleu,10080,station_velo
26,"43, Avenue de Ménival",45.7567552283432900,4.7832459078446250,12,OPEN,12,0,Orange,5032,station_velo
27,"62, Rue St Maximin",45.7478194334711700,4.8722698711079255,30,OPEN,24,6,Vert,3070,station_velo
28,Place Meissonier,45.7660850668592000,4.8328335830568180,16,OPEN,2,13,Vert,1005,station_velo
29,"16, Rue Michel Rocard",45.7809196995722940,4.8895701799074100,25,OPEN,0,23,Bleu,10044,station_velo
30,Place Carnot,45.7512270521822700,4.8268908354867040,30,OPEN,7,22,Vert,2022,station_velo
31,"Face 38, Rue Philippe de Lassalle",45.7774206479390600,4.8205384707114510,13,OPEN,3,10,Vert,4014,station_velo
32,"70, Avenue Mal. de Lattre de Tassigny",45.7366744242415300,4.9171004856320100,25,OPEN,23,2,Vert,14003,station_velo
33,Place de la Rochette,45.7916701826039940,4.8235970239637440,20,OPEN,4,16,Vert,11003,station_velo
34,"Face 2, Place Bir-Hakeim",45.7525921437139600,4.8557101486887975,19,OPEN,9,10,Vert,3039,station_velo
35,"97, Avenue Jules Jusserand",45.7511124102764400,4.8555850883006510,13,OPEN,9,4,Vert,3053,station_velo
36,"12, quai Saint Antoine",45.7633583865650400,4.8320919407108290,23,OPEN,5,18,Vert,2040,station_velo
37,"4, Rue Etienne Dolet",45.7140014190252940,4.8065443341113525,18,OPEN,17,1,Vert,20002,station_velo
